gameId,homeTeamId,homeTeamName ,awayTeamId,awayTeamName,homeTeamScore,awayTeamScore
401520270,245,Texas A&M Aggies,2,Auburn Tigers,27,10
401549761,,Southwestern University Pirates,,Birmingham-Southern Panthers,43,20
401520252,61,Georgia Bulldogs,5,UAB Blazers,49,21
401531876,6,South Alabama Jaguars,2117,Central Michigan Chippewas,30,34
401550302,,Amherst College Mammoths,,Hamilton Continentals,17,14
401520258,99,LSU Tigers,8,Arkansas Razorbacks,34,31
401524014,9,Arizona State Sun Devils,30,USC Trojans,28,42
401545975,,Colorado Mesa Mavericks,,Black Hills State Yellow Jackets,23,25
401524016,24,Stanford Cardinal,12,Arizona Wildcats,20,21
401540227,,Portland State Vikings,,Cal Poly Mustangs,59,21
401547197,,Husson Eagles,,Anna Maria College Amcats,50,49
401540245,,Idaho Vandals,,Sacramento State Hornets,36,27
401550342,,Claremont Mudd Scripps College Stags,,California Lutheran Kingsmen,49,28
401552468,,Bridgewater State (MA) Bears,,Western Connecticut State Wolves,35,28
401532583,21,San Diego State Aztecs,68,Boise State Broncos,31,34
401532584,23,San José State Spartans,2005,Air Force Falcons,20,45
401524016,24,Stanford Cardinal,12,Arizona Wildcats,20,21
401524018,264,Washington Huskies,25,California Golden Bears,59,32
401524017,254,Utah Utes,26,UCLA Bruins,14,7
401544146,,Chapman University Panthers,,Redlands Bulldogs,21,38
401524014,9,Arizona State Sun Devils,30,USC Trojans,28,42
401547215,,Carroll (WI) Pioneers,,Illinois Wesleyan Titans,70,23
401552874,,Colby College White Mules,,Trinity (CT) Bantams,7,48
401520262,2393,Middle Tennessee Blue Raiders,36,Colorado State Rams,23,31
401524015,2483,Oregon Ducks,38,Colorado Buffaloes,42,6
401544054,,Utica Pioneers,,Curry College Colonels,31,7
401520272,41,UConn Huskies,150,Duke Blue Devils,7,41
401540307,,Yale Bulldogs,,Cornell Big Red,21,23
401540058,,Columbia Lions,,Georgetown Hoyas,30,0
401534852,,Robert Morris Colonials,,Howard Bison,10,35
401540324,,Delaware Fightin' Blue Hens,,New Hampshire Wildcats,29,25
401547109,,Dubuque Spartans,,Loras College Duhawks,35,23
401540117,,Florida A&M Rattlers,,Alabama State Hornets,23,10
401525507,228,Clemson Tigers,52,Florida State Seminoles,24,31
401520257,55,Jacksonville State Gamecocks,2199,Eastern Michigan Eagles,21,0
401540567,,Stetson Hatters,,Butler Bulldogs,18,28
401520251,57,Florida Gators,2429,Charlotte 49ers,22,7
401531423,58,South Florida Bulls,242,Rice Owls,42,29
401525508,154,Wake Forest Demon Deacons,59,Georgia Tech Yellow Jackets,16,30
401547034,,Edward Waters Tigers,,Morehouse College Maroon Tigers,44,13
401520252,61,Georgia Bulldogs,5,UAB Blazers,49,21
401520253,62,Hawai'i Rainbow Warriors,166,New Mexico State Aggies,20,17
401547083,,Buena Vista Beavers,,Simpson College (IA) Storm,28,55
401544080,,Grinnell Pioneers,,Lawrence University Vikings,34,16
401525846,66,Iowa State Cyclones,197,Oklahoma State Cowboys,34,27
401547093,,Luther Norse,,Central College Dutch,16,41
401532583,21,San Diego State Aztecs,68,Boise State Broncos,31,34
401540245,,Idaho Vandals,,Sacramento State Hornets,36,27
401550043,,Elmhurst Bluejays,,North Central Cardinals,6,59
401544947,,North Park Vikings,,Millikin Big Blue,38,0
401544947,,North Park Vikings,,Millikin Big Blue,38,0
401520264,77,Northwestern Wildcats,135,Minnesota Golden Gophers,37,34
401540347,,Southern Illinois Salukis,,Missouri State Bears,33,20
401549652,,Beloit College Buccaneers,,Chicago Maroons,7,48
401541104,,Springfield Pride,,Coast Guard Bears,63,14
401541085,,DePauw Tigers,,Ohio Wesleyan Battling Bishops,28,7
401520256,84,Indiana Hoosiers,2006,Akron Zips,29,27
401550097,,Rose-Hulman Fightin' Engineers,,Anderson (IN) Ravens,64,3
401521330,87,Notre Dame Fighting Irish,194,Ohio State Buckeyes,14,17
401550279,,Wabash College Little Giants,,Oberlin Yeomen,59,6
401541974,,Pittsburg State Gorillas,,Nebraska-Kearney Lopers,33,14
401540300,,Murray State Racers,,Indiana State Sycamores,30,28
401520274,238,Vanderbilt Commodores,96,Kentucky Wildcats,28,45
401525506,97,Louisville Cardinals,103,Boston College Eagles,56,28
401520271,2653,Troy Trojans,98,Western Kentucky Hilltoppers,27,24
401520258,99,LSU Tigers,8,Arkansas Razorbacks,34,31
401550236,,Eureka College Red Devils,,St. Norbert Green Knights,21,17
401525506,97,Louisville Cardinals,103,Boston College Eagles,56,28
401540067,,Holy Cross Crusaders,,Colgate Raiders,47,7
401540291,,Harvard Crimson,,Brown Bears,34,31
401549739,,MIT Engineers,,Salve Regina Seahawks,7,34
401550122,,Mass Maritime Buccaneers,,Fitchburg State Falcons,21,3
401550295,,Tufts University Jumbos,,Bates College Bobcats,44,16
401526835,113,Massachusetts Minutemen,167,New Mexico Lobos,31,34
401550122,,Mass Maritime Buccaneers,,Fitchburg State Falcons,21,3
401547188,,Rowan Owls,,Johns Hopkins Blue Jays,20,55
401539988,,Towson Tigers,,Norfolk State Spartans,14,21
401520261,127,Michigan State Spartans,120,Maryland Terrapins,9,31
401550295,,Tufts University Jumbos,,Bates College Bobcats,44,16
401550154,,Gustavus Adolphus Golden Gusties,,Augsburg Auggies,31,33
401540748,,Saginaw Valley State Cardinals,,Grand Valley State Lakers,14,55
401550141,,Albion Britons,,Kalamazoo Hornets,44,17
401520261,127,Michigan State Spartans,120,Maryland Terrapins,9,31
401549692,,Quincy Hawks,,Northern Michigan Wildcats,45,27
401540700,,Saginaw Valley State Cardinals,,Indianapolis Greyhounds,10,35
401520260,130,Michigan Wolverines,164,Rutgers Scarlet Knights,31,7
401540740,,Wayne State (MI) Warriors,,Truman State Bulldogs,7,41
401545813,,University of Mary Marauders,,Bemidji State Beavers,10,41
