teamId,gameId,oddsExist,homeTeamId,awayTeamId,awayFavorite,homeFavorite,provider,favorite,underdog,spread,details,overUnder,awayMoneyLine,homeMoneyLine,awayspreadOdds,homespreadOdds,teamId2,gameId2,slug,location,name,nickname,abbreviation,displayName,shortDisplayName,color,alternateColor
teamId_2,401520350,True,2,344,False,True,Caesars Sportsbook (New Jersey),2,344,-6.5,AUB -6.5,41.0,205,-250,-110.0,-110.0,2,401520350,auburn-tigers,Auburn,Tigers,Auburn,AUB,Auburn Tigers,Tigers,03244d,f1f2f3
teamId_3,401549765,False,,,,,NONE,,,,,,,,,,3,401549765,birmingham-southern-panthers,Birmingham-Southern,Panthers,Birm-Southern,BIR,Birmingham-Southern Panthers,Panthers,000000,
teamId_5,401531383,False,,,,,NONE,,,,,,,,,,5,401531383,uab-blazers,UAB,Blazers,UAB,UAB,UAB Blazers,Blazers,003b28,ffc845
teamId_6,401531902,True,6,309,False,True,Caesars Sportsbook (New Jersey),6,309,-11.0,USA -11.0,55.0,345,-455,-110.0,-110.0,6,401531902,south-alabama-jaguars,South Alabama,Jaguars,South Alabama,USA,South Alabama Jaguars,Jaguars,003E7E,
teamId_7,401552021,False,,,,,NONE,,,,,,,,,,7,401552021,amherst-college-mammoths,Amherst College,Mammoths,Amherst,AMH,Amherst College Mammoths,Mammoths,3f1f69,ffffff
teamId_8,401520363,False,,,,,NONE,,,,,,,,,,8,401520363,arkansas-razorbacks,Arkansas,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Razorbacks,a41f35,ffffff
teamId_9,401524040,True,9,265,True,False,Caesars Sportsbook (New Jersey),265,9,5.5,WSU -5.5,49.5,-220,180,-110.0,-110.0,9,401524040,arizona-state-sun-devils,Arizona State,Sun Devils,Arizona St,ASU,Arizona State Sun Devils,Sun Devils,942139,f1f2f3
teamId_11,401545993,False,,,,,NONE,,,,,,,,,,11,401545993,colorado-mesa-mavericks,Colorado Mesa,Mavericks,Colo Mesa,MES,Colorado Mesa Mavericks,Mavericks,000000,
teamId_12,401524039,True,12,204,True,False,Caesars Sportsbook (New Jersey),204,12,3.0,ORST -3.0,56.5,-160,135,-110.0,-110.0,12,401524039,arizona-wildcats,Arizona,Wildcats,Arizona,ARIZ,Arizona Wildcats,Wildcats,0c234b,ab0520
teamId_13,401540232,False,,,,,NONE,,,,,,,,,,13,401540232,cal-poly-mustangs,Cal Poly,Mustangs,Cal Poly,CP,Cal Poly Mustangs,Mustangs,1E4D2B,eed897
teamId_15,401552464,False,,,,,NONE,,,,,,,,,,15,401552464,anna-maria-college-amcats,Anna Maria College,Amcats,Anna Maria,ANN,Anna Maria College Amcats,Amcats,000000,
teamId_16,401540255,False,,,,,NONE,,,,,,,,,,16,401540255,sacramento-state-hornets,Sacramento State,Hornets,Sacramento St,SAC,Sacramento State Hornets,Hornets,00573C,cdb97d
teamId_17,401550334,False,,,,,NONE,,,,,,,,,,17,401550334,claremont-mudd-scripps-college-stags,Claremont Mudd Scripps College,Stags,Clare Mudd,CLA,Claremont Mudd Scripps College Stags,Stags,981a31,feba15
teamId_18,401550138,False,,,,,NONE,,,,,,,,,,18,401550138,bridgewater-state-ma-bears,Bridgewater State (MA),Bears,Bridgewater MA,BRI,Bridgewater State (MA) Bears,Bears,bf2f38,000000
teamId_21,401532612,False,,,,,NONE,,,,,,,,,,21,401532612,san-diego-state-aztecs,San Diego State,Aztecs,San Diego St,SDSU,San Diego State Aztecs,Aztecs,BF2C37,a8996e
teamId_23,401532605,True,62,23,True,False,Caesars Sportsbook (New Jersey),23,62,11.0,SJSU -11.0,58.0,-400,310,-110.0,-110.0,23,401532605,san-jose-state-spartans,San José State,Spartans,San José St,SJSU,San José State Spartans,Spartans,005893,fdba31
