teamId,gameId,oddsExist,homeTeamId,awayTeamId,awayFavorite,homeFavorite,provider,favorite,underdog,spread,details,overUnder,teamId2,gameId2,slug,location,name,nickname,abbreviation,displayName,shortDisplayName,color,alternateColor
teamId_2,401520270,True,245,2,False,True,Caesars Sportsbook (New Jersey),245,2,-7.5,TA&M -7.5,52.5,2,401520270,"""auburn-tigers""","""Auburn""","""Tigers""","""Auburn""","""AUB""","""Auburn Tigers""","""Tigers""",03244d,f1f2f3
teamId_3,401549761,False,,,,,NONE,,,,,,3,401549761,"""birmingham-southern-panthers""","""Birmingham-Southern""","""Panthers""","""Birm-Southern""","""BIR""","""Birmingham-Southern Panthers""","""Panthers""",000000,
teamId_5,401520252,True,61,5,False,True,Caesars Sportsbook (New Jersey),61,5,-42.0,UGA -42.0,53.5,5,401520252,"""uab-blazers""","""UAB""","""Blazers""","""UAB""","""UAB""","""UAB Blazers""","""Blazers""",003b28,ffc845
teamId_6,401531876,True,6,2117,False,True,Caesars Sportsbook (New Jersey),6,2117,-15.0,USA -15.0,51.0,6,401531876,"""south-alabama-jaguars""","""South Alabama""","""Jaguars""","""South Alabama""","""USA""","""South Alabama Jaguars""","""Jaguars""",003E7E,
teamId_7,401550302,False,,,,,NONE,,,,,,7,401550302,"""amherst-college-mammoths""","""Amherst College""","""Mammoths""","""Amherst""","""AMH""","""Amherst College Mammoths""","""Mammoths""",3f1f69,ffffff
teamId_8,401520258,True,99,8,False,True,Caesars Sportsbook (New Jersey),99,8,-17.5,LSU -17.5,55.5,8,401520258,"""arkansas-razorbacks""","""Arkansas""","""Razorbacks""","""Arkansas""","""ARK""","""Arkansas Razorbacks""","""Razorbacks""",a41f35,ffffff
teamId_9,401524014,True,9,30,True,False,Caesars Sportsbook (New Jersey),30,9,33.5,USC -33.5,61.5,9,401524014,"""arizona-state-sun-devils""","""Arizona State""","""Sun Devils""","""Arizona St""","""ASU""","""Arizona State Sun Devils""","""Sun Devils""",942139,f1f2f3
teamId_11,401545975,False,,,,,NONE,,,,,,11,401545975,"""colorado-mesa-mavericks""","""Colorado Mesa""","""Mavericks""","""Colo Mesa""","""MES""","""Colorado Mesa Mavericks""","""Mavericks""",000000,
teamId_12,401524016,True,24,12,True,False,Caesars Sportsbook (New Jersey),12,24,12.5,ARIZ -12.5,58.5,12,401524016,"""arizona-wildcats""","""Arizona""","""Wildcats""","""Arizona""","""ARIZ""","""Arizona Wildcats""","""Wildcats""",0c234b,ab0520
teamId_13,401540227,False,,,,,NONE,,,,,,13,401540227,"""cal-poly-mustangs""","""Cal Poly""","""Mustangs""","""Cal Poly""","""CP""","""Cal Poly Mustangs""","""Mustangs""",1E4D2B,eed897
teamId_15,401547197,False,,,,,NONE,,,,,,15,401547197,"""anna-maria-college-amcats""","""Anna Maria College""","""Amcats""","""Anna Maria ""","""ANN""","""Anna Maria College Amcats""","""Amcats""",000000,
teamId_16,401540245,False,,,,,NONE,,,,,,16,401540245,"""sacramento-state-hornets""","""Sacramento State""","""Hornets""","""Sacramento St""","""SAC""","""Sacramento State Hornets""","""Hornets""",00573C,cdb97d
teamId_17,401550342,False,,,,,NONE,,,,,,17,401550342,"""claremont-mudd-scripps-college-stags""","""Claremont Mudd Scripps College""","""Stags""","""Clare Mudd""","""CLA""","""Claremont Mudd Scripps College Stags""","""Stags""",981a31,feba15
teamId_18,401552468,False,,,,,NONE,,,,,,18,401552468,"""bridgewater-state-ma-bears""","""Bridgewater State (MA)""","""Bears""","""Bridgewater MA""","""BRI""","""Bridgewater State (MA) Bears""","""Bears""",bf2f38,000000
teamId_21,401532583,True,21,68,True,False,Caesars Sportsbook (New Jersey),68,21,7.0,BOIS -7.0,45.0,21,401532583,"""san-diego-state-aztecs""","""San Diego State""","""Aztecs""","""San Diego St""","""SDSU""","""San Diego State Aztecs""","""Aztecs""",BF2C37,a8996e
teamId_23,401532584,True,23,2005,True,False,Caesars Sportsbook (New Jersey),2005,23,3.5,AFA -3.5,47.0,23,401532584,"""san-jose-state-spartans""","""San José State""","""Spartans""","""San José St""","""SJSU""","""San José State Spartans""","""Spartans""",005893,fdba31
