teamId,gameId,slug,location,name,nickname,abbreviation,displayName,shortDisplayName,color,alternateColor
2,401520270,"""auburn-tigers""","""Auburn""","""Tigers""","""Auburn""","""AUB""","""Auburn Tigers""","""Tigers""",03244d,f1f2f3
3,401549761,"""birmingham-southern-panthers""","""Birmingham-Southern""","""Panthers""","""Birm-Southern""","""BIR""","""Birmingham-Southern Panthers""","""Panthers""",000000,
5,401520252,"""uab-blazers""","""UAB""","""Blazers""","""UAB""","""UAB""","""UAB Blazers""","""Blazers""",003b28,ffc845
6,401531876,"""south-alabama-jaguars""","""South Alabama""","""Jaguars""","""South Alabama""","""USA""","""South Alabama Jaguars""","""Jaguars""",003E7E,
7,401550302,"""amherst-college-mammoths""","""Amherst College""","""Mammoths""","""Amherst""","""AMH""","""Amherst College Mammoths""","""Mammoths""",3f1f69,ffffff
8,401520258,"""arkansas-razorbacks""","""Arkansas""","""Razorbacks""","""Arkansas""","""ARK""","""Arkansas Razorbacks""","""Razorbacks""",a41f35,ffffff
9,401524014,"""arizona-state-sun-devils""","""Arizona State""","""Sun Devils""","""Arizona St""","""ASU""","""Arizona State Sun Devils""","""Sun Devils""",942139,f1f2f3
11,401545975,"""colorado-mesa-mavericks""","""Colorado Mesa""","""Mavericks""","""Colo Mesa""","""MES""","""Colorado Mesa Mavericks""","""Mavericks""",000000,
12,401524016,"""arizona-wildcats""","""Arizona""","""Wildcats""","""Arizona""","""ARIZ""","""Arizona Wildcats""","""Wildcats""",0c234b,ab0520
13,401540227,"""cal-poly-mustangs""","""Cal Poly""","""Mustangs""","""Cal Poly""","""CP""","""Cal Poly Mustangs""","""Mustangs""",1E4D2B,eed897
15,401547197,"""anna-maria-college-amcats""","""Anna Maria College""","""Amcats""","""Anna Maria ""","""ANN""","""Anna Maria College Amcats""","""Amcats""",000000,
16,401540245,"""sacramento-state-hornets""","""Sacramento State""","""Hornets""","""Sacramento St""","""SAC""","""Sacramento State Hornets""","""Hornets""",00573C,cdb97d
17,401550342,"""claremont-mudd-scripps-college-stags""","""Claremont Mudd Scripps College""","""Stags""","""Clare Mudd""","""CLA""","""Claremont Mudd Scripps College Stags""","""Stags""",981a31,feba15
18,401552468,"""bridgewater-state-ma-bears""","""Bridgewater State (MA)""","""Bears""","""Bridgewater MA""","""BRI""","""Bridgewater State (MA) Bears""","""Bears""",bf2f38,000000
21,401532583,"""san-diego-state-aztecs""","""San Diego State""","""Aztecs""","""San Diego St""","""SDSU""","""San Diego State Aztecs""","""Aztecs""",BF2C37,a8996e
23,401532584,"""san-jose-state-spartans""","""San José State""","""Spartans""","""San José St""","""SJSU""","""San José State Spartans""","""Spartans""",005893,fdba31
24,401524016,"""stanford-cardinal""","""Stanford""","""Cardinal""","""Stanford""","""STAN""","""Stanford Cardinal""","""Cardinal""",8c1515,ffffff
25,401524018,"""california-golden-bears""","""California""","""Golden Bears""","""California""","""CAL""","""California Golden Bears""","""Golden Bears""",031522,ffc423
26,401524017,"""ucla-bruins""","""UCLA""","""Bruins""","""UCLA""","""UCLA""","""UCLA Bruins""","""Bruins""",2774ae,f2a900
29,401544146,"""redlands-bulldogs""","""Redlands""","""Bulldogs""","""Redlands""","""RED""","""Redlands Bulldogs""","""Bulldogs""",751708,ffffff
30,401524014,"""usc-trojans""","""USC""","""Trojans""","""USC""","""USC""","""USC Trojans""","""Trojans""",9e2237,ffcc00
32,401547215,"""carroll-wi-pioneers""","""Carroll (WI)""","""Pioneers""","""Carroll WI""","""CAR""","""Carroll (WI) Pioneers""","""Pioneers""",000000,
33,401552874,"""colby-college-white-mules""","""Colby College""","""White Mules""","""Colby""","""COL""","""Colby College White Mules""","""White Mules""",012778,ffffff
36,401520262,"""colorado-state-rams""","""Colorado State""","""Rams""","""Colorado St""","""CSU""","""Colorado State Rams""","""Rams""",004537,ffc425
38,401524015,"""colorado-buffaloes""","""Colorado""","""Buffaloes""","""Colorado""","""COLO""","""Colorado Buffaloes""","""Buffaloes""",000000,cfb87c
40,401544054,"""curry-college-colonels""","""Curry College""","""Colonels""","""Curry""","""CUR""","""Curry College Colonels""","""Colonels""",65448b,ffffff
41,401520272,"""uconn-huskies""","""UConn""","""Huskies""","""UConn""","""CONN""","""UConn Huskies""","""Huskies""",0c2340,f1f2f3
